Rank,Country,US$
1,Luxembourg,114341
2,Macau,86365
3,Switzerland,82839
4,Norway,81807
5,Ireland,77450
6,Iceland,73191
7,Qatar,69027
8,Singapore,64582
9,United States,62641
10,Denmark,60596
11,Australia,57305
12,Sweden,54112
13,Netherlands,52978
14,Austria,51513
15,Finland,49960
16,Hong Kong,48717
17,Germany,48196
18,Belgium,46556
19,Canada,46125
20,United Arab Emirates,43005
21,United Kingdom,42491
22,Andorra,42030
23,New Zealand,41966
24,Israel,41614
25,France,41464
26,Japan,39287
27,European Union,36532
28,Italy,34318
29,Kuwait,34244
30,Puerto Rico,31651
31,Brunei,31628
32,"Korea, South",31363
33,Spain,30524
34,Malta,30075
35,Cyprus,28159
36,Turks and Caicos Islands,27142
37,Slovenia,26234
38,Bahrain,24051
39,Saudi Arabia,23219
40,Portugal,23146
41,Czech Republic,22973
42,Estonia,22928
43,Greece,20324
44,Saint Kitts and Nevis,19829
45,Slovakia,19547
46,Lithuania,19090
47,Latvia,18089
48,Palau,17318
49,Uruguay,17278
50,Antigua and Barbuda,16864
51,Trinidad and Tobago,16844
52,Seychelles,16434
53,Oman,16419
54,Hungary,15939
55,Chile,15923
56,Panama,15575
57,Poland,15424
58,Croatia,14869
59,Romania,12301
60,Costa Rica,12027
61,Argentina,11653
62,World,11297
63,Russia,11289
64,Malaysia,11239
65,Mauritius,11238
66,Grenada,10834
67,Saint Lucia,10315
68,Maldives,10224
69,Equatorial Guinea,10174
70,China,9771
71,Mexico,9698
72,Kazakhstan,9331
73,Turkey,9311
74,Bulgaria,9273
75,Nauru,9030
76,Brazil,8921
77,Montenegro,8761
78,Lebanon,8270
79,Botswana,8259
80,Gabon,8030
81,Dominican Republic,7650
82,Saint Vincent and the Grenadines,7378
83,Thailand,7274
84,Libya,7235
85,Serbia,7234
86,Dominica,7032
87,Turkmenistan,6967
88,Peru,6947
89,Colombia,6651
90,Ecuador,6345
91,South Africa,6340
92,Belarus,6290
93,Fiji,6202
94,North Macedonia,6084
95,Bosnia and Herzegovina,5951
96,Suriname,5950
97,Namibia,5932
98,Iraq,5878
99,Paraguay,5872
100,Jamaica,5356
101,Albania,5254
102,Belize,5025
103,Azerbaijan,4721
104,Guyana,4635
105,Guatemala,4549
106,Samoa,4393
107,Tonga,4364
108,Georgia,4345
109,Kosovo,4281
110,Algeria,4279
111,Jordan,4248
112,Armenia,4212
113,Eswatini,4140
114,Mongolia,4104
115,Sri Lanka,4103
116,El Salvador,4058
117,Indonesia,3894
118,Tuvalu,3701
119,Cape Verde,3654
120,Marshall Islands,3621
121,Bolivia,3549
122,Tunisia,3447
123,Angola,3432
124,Bhutan,3361
125,Morocco,3238
126,Palestine,3199
127,Moldova,3189
128,Philippines,3103
129,Ukraine,3095
130,"Micronesia, Federated States of",3058
131,Vanuatu,3033
132,Papua New Guinea,2723
133,Laos,2568
134,Vietnam,2564
135,Egypt,2549
136,Honduras,2483
137,Ghana,2202
138,Solomon Islands,2163
139,"Congo, Republic of the",2148
140,Zimbabwe,2147
141,Djibouti,2050
142,East Timor,2036
143,Nicaragua,2029
144,Nigeria,2028
145,India,2016
146,São Tomé and Príncipe,2001
147,Côte d'Ivoire,1716
148,Kenya,1711
149,Bangladesh,1698
150,Kiribati,1625
151,Zambia,1540
152,Uzbekistan,1532
153,Cameroon,1527
154,Senegal,1522
155,Cambodia,1512
156,Pakistan,1473
157,Comoros,1446
158,Myanmar,1326
159,Lesotho,1324
160,Kyrgyzstan,1281
161,Mauritania,1219
162,Tanzania,1051
163,Nepal,1026
164,Sudan,977
165,Yemen,944
166,Benin,902
167,Mali,901
168,Guinea,885
169,Haiti,868
170,Tajikistan,827
171,Guinea-Bissau,778
172,Rwanda,773
173,Ethiopia,772
174,Burkina Faso,731
175,Chad,730
176,"Gambia, The",713
177,Liberia,674
178,Togo,672
179,Uganda,643
180,"Congo, Democratic Republic of the",562
181,Sierra Leone,523
182,Afghanistan,521
183,Central African Republic,510
184,Somalia,499
185,Madagascar,461
186,Burundi,412
187,Niger,389
188,Malawi,275
