SearchName,Age
Hinduja_Family,
Thomas_&_Raymond_Kwok,
David_&_Simon_Reuben,
Udo_&_Harald_Tschira,
Robert_&_Philip_Ng,
Eva_Gonda_De_Rivera,
Willi_&_Isolde_Liebherr,
Hank_&_Doug_Meijer,
Augusto_&_Giorgio_Perfetti,
Ian_&_Richard_Livingstone,
Abdulla_Bin_Ahmad_Al_Ghurair,
Kwee_Family,
Thomas_Kirk_Kristiansen,
Lam_Wai_Ying,
Agnete_Kirk_Thinggaard,36.0
Martin_&_Olivier_Bouygues,
Paolo_&_Gianfelice_Mario_Rocca,
Bajaj_Brothers,
Majid_Al_Futtaim,
Kapil_&_Rahul_Bhatia,
Ursula_Bechtolsheimer-Kipp,68.0
Sudhir_&_Samir_Mehta,
Stewart_And_Lynda_Resnick,
Dominika_&_Sebastian_Kulczyk,
Katharina_Otto-Bernstein,
Gabriele_Volkmann,
Kuldip_Singh_&_Gurbachan_Singh_Dhingra,
Maren_Otto,
Shashi_&_Ravi_Ruia,
Abdulla_Al_Futtaim,
Andrew_&_Peggy_Cherng,
Jose_And_Francisco_Jose_Calderon_Rojas,
Saeed_Bin_Butti_Al_Qebaisi,
Tsai_Cheng-Da,
Klaus-Peter_Schulenberg,
Jai_Hari_&_Yadu_Hari_Dalmia,
Murli_Dhar_&_Bimal_Kumar_Gyanchandani,
Chan_Tan_Ching-Fen,
Scott_Lin,
T.Y._Tsai,
Eddie_&_Sol_Zakay,
Guenther_Lehmann,
Fritz_Draexlmaier,
Kiat_Chiaravanont,80.0
Jean-Paul_And_Martine_Clozel,
Maximilian_Stoschek,
Marcos_Galperin,
Jose_Joao_Abdalla_Filho,
Tang_Jianfang,
Alberto_Prada,
Marina_Prada,
Changpeng_Zhao,
Archie_Hwang,
Lu_Di,
Karin_Schick,
Yang_Meirong,
Fawzi_Al-Kharafi,
Mohannad_Al-Kharafi,
Bu_Yang,
Manas_Chiaravanond,
Yupa_Chiaravanond,
Prathip_Chiravanond,
Wolfgang_Egger,
Madhu_Kapur,
Swift_Xie,
